df.ADM1_VI,provinceMask,df.ADM2_VI,Mask
An Giang,An Giang,Huyện An Phú,Huyện An Phú
An Giang,An Giang,TP. Châu Đốc,Thành phố Châu Đốc
An Giang,An Giang,Huyện Châu Phú,Huyện Châu Phú
An Giang,An Giang,Huyện Châu Thành,Huyện Châu Thành
An Giang,An Giang,Huyện Chợ Mới,Huyện Chợ Mới
An Giang,An Giang,TP. Long Xuyên,Thành phố Long Xuyên
An Giang,An Giang,Huyện Phú Tân,Huyện Phú Tân
An Giang,An Giang,Thị xã Tân Châu,Thị xã Tân Châu
An Giang,An Giang,Huyện Thoại Sơn,Huyện Thoại Sơn
An Giang,An Giang,Huyện Tịnh Biên,Huyện Tịnh Biên
An Giang,An Giang,Huyện Tri Tôn,Huyện Tri Tôn
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,TP. Bà Rịa,Thành phố Bà Rịa
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Châu Đức,Huyện Châu Đức
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Côn Đảo,Huyện Côn Đảo
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Huyện Đất Đỏ
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Long Điền,Huyện Long Điền
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Tân Thành,Huyện Tân Thành
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,TP. Vũng Tàu,Thành phố Vũng Tàu
Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Huyện Xuyên Mộc
Bắc Giang,Bắc Giang,TP. Bắc Giang,Thành phố Bắc Giang
Bắc Giang,Bắc Giang,Huyện Hiệp Hòa,Huyện Hiệp Hòa
Bắc Giang,Bắc Giang,Huyện Lạng Giang,Huyện Lạng Giang
Bắc Giang,Bắc Giang,Huyện Lục Nam,Huyện Lục Nam
Bắc Giang,Bắc Giang,Huyện Lục Ngạn,Huyện Lục Ngạn
Bắc Giang,Bắc Giang,Huyện Sơn Động,Huyện Sơn Động
Bắc Giang,Bắc Giang,Huyện Tân Yên,Huyện Tân Yên
Bắc Giang,Bắc Giang,Huyện Việt Yên,Huyện Việt Yên
Bắc Giang,Bắc Giang,Huyện Yên Dũng,Huyện Yên Dũng
Bắc Giang,Bắc Giang,Huyện Yên Thế,Huyện Yên Thế
Bắc Kạn,Bắc Kạn,Huyện Ba Bể,Huyện Ba Bể
Bắc Kạn,Bắc Kạn,Thị xã Bắc Kạn,Thành Phố Bắc Kạn
Bắc Kạn,Bắc Kạn,Huyện Bạch Thông,Huyện Bạch Thông
Bắc Kạn,Bắc Kạn,Huyện Chợ Đồn,Huyện Chợ Đồn
Bắc Kạn,Bắc Kạn,Huyện Chợ Mới,Huyện Chợ Mới
Bắc Kạn,Bắc Kạn,Huyện Na Rì,Huyện Na Rì
