df1.region_name,df1.district_name
Sơn La,Thành phố Sơn La
Hà Nội,Quận Hoàng Mai
Hồ Chí Minh,Quận Bình Tân
Hồ Chí Minh,Quận Tân Phú
Hà Nội,Huyện Phú Xuyên
Hồ Chí Minh,Quận 7
Hà Nội,Huyện Thanh Trì
Cao Bằng,Thành phố Cao Bằng
Tiền Giang,Thành phố Mỹ Tho
Đà Nẵng,Quận Liên Chiểu
Hải Phòng,Quận Kiến An
Khánh Hòa,Thành phố Nha Trang
Hoà Bình,Huyện Kim Bôi
Kiên Giang,Thành phố Rạch Giá
Đắk Lắk,Huyện Cư M'gar
Điện Biên,Huyện Điện Biên
Hà Nội,Thị xã Sơn Tây
Bình Phước,Huyện Chơn Thành
Phú Yên,Huyện Phú Hoà
Bạc Liêu,Thành phố Bạc Liêu
Hải Phòng,Huyện An Dương
Nghệ An,Huyện Nghĩa Đàn
Hà Nội,Huyện Ba Vì
Hà Nam,Huyện Kim Bảng
Hà Nội,Huyện Đông Anh
Quảng Trị,Huyện Hướng Hóa
Trà Vinh,Huyện Châu Thành
Hải Phòng,Huyện Thuỷ Nguyên
Vĩnh Phúc,Thành phố Vĩnh Yên
Thanh Hóa,Thị xã Bỉm Sơn
Hải Dương,Huyện Nam Sách
Đà Nẵng,Huyện Hòa Vang
Lâm Đồng,Huyện Di Linh
Thái Nguyên,Huyện Phú Lương
Vĩnh Phúc,Huyện Vĩnh Tường
Ninh Thuận,Huyện Ninh Phước
Lai Châu,Huyện Tân Uyên
Bình Định,Huyện Hoài Nhơn
Bắc Giang,Huyện Việt Yên
Cà Mau,Huyện U Minh
Thái Nguyên,Huyện Võ Nhai
Đắk Nông,Huyện Đắk Song
Hậu Giang,Thị xã Ngã Bảy
Bạc Liêu,Huyện Phước Long
Bắc Giang,Huyện Lạng Giang
Nam Định,Huyện Xuân Trường
Lâm Đồng,Huyện Đức Trọng
Bình Định,Thị xã An Nhơn
Đồng Tháp,Huyện Lấp Vò
Nghệ An,Huyện Diễn Châu
Tuyên Quang,Huyện Yên Sơn
Kiên Giang,Huyện U Minh Thượng
Hà Nội,Huyện Thường Tín
Nghệ An,Huyện Nghi Lộc
Bình Phước,Huyện Bù Đốp
Thái Bình,Huyện Đông Hưng
Hải Dương,Huyện Thanh Hà
Bình Thuận,Huyện Hàm Tân
Hưng Yên,Huyện Tiên Lữ
Cà Mau,Huyện Trần Văn Thời
Lai Châu,Thành phố Lai Châu
Quảng Bình,Huyện Quảng Ninh
Kon Tum,Huyện Kon Plông
Phú Thọ,Thành phố Việt Trì
Đồng Tháp,Huyện Tam Nông
Hải Phòng,Huyện Kiến Thuỵ
Bình Định,Huyện Phù Cát
Thái Bình,Huyện Tiền Hải
Trà Vinh,Huyện Càng Long
Gia Lai,Huyện Đăk Đoa
Hậu Giang,Thành phố Vị Thanh
Thanh Hóa,Huyện Hà Trung
Quảng Ninh,Huyện Tiên Yên
Quảng Trị,Huyện Hải Lăng
Hà Giang,Huyện Bắc Mê
Bến Tre,Huyện Châu Thành
Cà Mau,Huyện Cái Nước
Thừa Thiên Huế,Huyện Phong Điền
Hà Tĩnh,Thị xã Kỳ Anh
Vĩnh Long,Thị xã Bình Minh
Phú Thọ,Huyện Lâm Thao
Quảng Nam,Huyện Tiên Phước
Kiên Giang,Huyện Kiên Hải
Đắk Lắk,Huyện Krông A Na
Gia Lai,Huyện Chư Prông
Hà Giang,Huyện Quang Bình
Lâm Đồng,Huyện Đơn Dương
Thanh Hóa,Huyện Thọ Xuân
Lạng Sơn,Huyện Văn Lãng
Quảng Nam,Huyện Nam Giang
Ninh Bình,Huyện Yên Khánh
Bình Dương,Huyện Bắc Tân Uyên
Long An,Huyện Tân Trụ
Thừa Thiên Huế,Huyện A Lưới
Long An,Thị xã Kiến Tường
Nghệ An,Huyện Tương Dương
Quảng Ngãi,Huyện Lý Sơn
Quảng Trị,Huyện Đa Krông
Khánh Hòa,Huyện Khánh Sơn
Lạng Sơn,Huyện Chi Lăng
Lạng Sơn,Huyện Bắc Sơn
Sóc Trăng,Huyện Cù Lao Dung
Lào Cai,Huyện Si Ma Cai
Lai Châu,Huyện Nậm Nhùn
Hậu Giang,Huyện Long Mỹ
Kon Tum,Huyện Sa Thầy
Cao Bằng,Huyện Quảng Uyên
Quảng Ngãi,Huyện Sơn Tây
Lạng Sơn,Huyện Bình Gia
Long An,Huyện Mộc Hóa
Thanh Hóa,Huyện Bá Thước
Kon Tum,Huyện Ia H' Drai
Hà Giang,Huyện Hoàng Su Phì
Bình Định,Huyện An Lão
Thái Bình,UNKNOWN
Hồ Chí Minh,UNKNOWN
Đà Nẵng,Quận Ngũ Hành Sơn
Đà Nẵng,Quận Sơn Trà
Hồ Chí Minh,Quận Thủ Đức
